ProductCode,SalePrice,OriginalPrice,ScrapedAt,DFN
JJGCQ8RH7G,$799.00 ,$999.00 ,10/8/2025 16:20,Apple MacBook Air 13
JJGQJRKGQ4,$879.99 ,"$1,349.99 ",10/8/2025 16:20,HP OmniBook X
JJGSHCGSCW,"$1,449.99 ",,10/8/2025 16:20,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00 ,$999.00 ,10/8/2025 16:20,Apple MacBook Air 13
JJGQJRKGQ4,$879.99 ,"$1,349.99 ",10/8/2025 16:20,HP OmniBook X
JJGSHCGSCW,"$1,449.99 ",,10/8/2025 16:20,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00 ,$999.00 ,10/8/2025 16:21,Apple MacBook Air 13
JJGQJRKGQ4,$879.99 ,"$1,349.99 ",10/8/2025 16:21,HP OmniBook X
JJGSHCGSCW,"$1,449.99 ",,10/8/2025 16:21,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00 ,$999.00 ,10/8/2025 16:21,Apple MacBook Air 13
JJGQJRKGQ4,$879.99 ,"$1,349.99 ",10/8/2025 16:21,HP OmniBook X
JJGSHCGSCW,"$1,449.99 ",,10/8/2025 16:21,Lenovo  Yoga Slim 7i
6578292,$749.00 ,$899.00 ,10/8/2025 16:21,
6586862,$949.00 ,"$1,099.00 ",10/8/2025 16:21,
6587013,$529.00 ,$649.00 ,10/8/2025 16:21,
6533549,"$2,099.00 ","$2,299.00 ",10/8/2025 16:21,
5495366,"$1,099.00 ","$1,199.00 ",10/8/2025 16:21,
6533756,$47.19 ,,10/8/2025 16:21,
6534434,"$1,199.00 ","$1,399.00 ",10/8/2025 16:21,
6534438,"$1,199.00 ","$1,399.00 ",10/8/2025 16:21,
6565866,$999.00 ,"$1,199.00 ",10/8/2025 16:21,
6565846,$849.99 ,$999.00 ,10/8/2025 16:21,
6551409,"$1,198.99 ","$1,599.00 ",10/8/2025 16:21,
6534614,"$2,698.99 ","$3,899.00 ",10/8/2025 16:21,
6628459,"$1,149.99 ","$1,549.99 ",10/8/2025 16:21,
6625647,$749.99 ,$999.99 ,10/8/2025 16:21,
6615777,$899.99 ,"$1,099.99 ",10/8/2025 16:21,
6622860,"$2,499.99 ",,10/8/2025 16:21,
6582825,"$1,049.99 ","$1,399.99 ",10/8/2025 16:21,
6566194,$179.99 ,$269.99 ,10/8/2025 16:21,
6566193,$149.99 ,$219.99 ,10/8/2025 16:21,
6585405,$209.99 ,$269.99 ,10/8/2025 16:21,
6618946,$499.99 ,$569.99 ,10/8/2025 16:21,
6618940,$479.99 ,$569.99 ,10/8/2025 16:21,
6618944,$484.99 ,$569.99 ,10/8/2025 16:21,
6618936,$679.99 ,$749.99 ,10/8/2025 16:21,
6593200,"$1,319.99 ",,10/8/2025 16:21,
6615774,$599.99 ,$899.99 ,10/8/2025 16:21,
6614873,$949.99 ,,10/8/2025 16:21,
6615769,$899.99 ,,10/8/2025 16:21,
6616071,$749.99 ,,10/8/2025 16:21,
6612930,$149.99 ,$199.99 ,10/8/2025 16:21,
6575348,"$1,359.99 ","$1,599.99 ",10/8/2025 16:21,
6621481,$399.99 ,,10/8/2025 16:21,
6630640,"$1,499.99 ",,10/8/2025 16:21,
6632087,"$3,199.99 ","$3,299.99 ",10/8/2025 16:21,
6618925,"$1,049.99 ","$1,369.99 ",10/8/2025 16:21,
6628371,"$3,299.99 ",,10/8/2025 16:21,
6582827,"$1,149.99 ","$1,499.99 ",10/8/2025 16:21,
6622702,"$1,299.99 ",,10/8/2025 16:21,
6622618,$849.99 ,,10/8/2025 16:21,
6622616,$899.99 ,,10/8/2025 16:21,
6615250,$799.99 ,,10/8/2025 16:21,
6578266,$279.00 ,$349.00 ,10/8/2025 16:21,
6457144,$529.00 ,$599.00 ,10/8/2025 16:21,
6602769,"$1,299.00 ",,10/8/2025 16:21,
6534642,"$1,399.00 ","$1,599.00 ",10/8/2025 16:21,
6565836,,,10/8/2025 16:21,
6615766,"$1,549.99 ",,10/8/2025 16:21,
6613860,"$1,049.99 ",,10/8/2025 16:21,
6615767,$649.99 ,"$1,049.99 ",10/8/2025 16:21,
6613867,"$1,049.99 ",,10/8/2025 16:21,
6615770,$649.99 ,$949.99 ,10/8/2025 16:21,
6619196,"$2,399.99 ",,10/8/2025 16:21,
6620392,"$1,099.99 ",,10/8/2025 16:21,
6615776,"$1,099.99 ",,10/8/2025 16:21,
6615728,$579.99 ,$999.99 ,10/8/2025 16:21,
6615841,$649.99 ,$949.99 ,10/8/2025 16:21,
6598566,$899.99 ,,10/8/2025 16:21,
6615730,"$1,599.99 ",,10/8/2025 16:21,
6613954,"$2,399.99 ",,10/8/2025 16:21,
6614108,$879.99 ,"$1,349.99 ",10/8/2025 16:21,
6613862,"$1,049.99 ",,10/8/2025 16:21,
6618657,"$1,099.99 ",,10/8/2025 16:21,
6614110,"$1,499.99 ",,10/8/2025 16:21,
6613953,"$3,169.99 ",,10/8/2025 16:21,
6623673,$749.99 ,$899.99 ,10/8/2025 16:21,
6622099,$999.99 ,"$1,199.99 ",10/8/2025 16:21,
6610570,$349.99 ,$629.99 ,10/8/2025 16:21,
6610895,$199.99 ,$249.99 ,10/8/2025 16:21,
6610891,$449.99 ,,10/8/2025 16:21,
6612255,$519.99 ,$649.99 ,10/8/2025 16:21,
6610894,$299.99 ,$579.99 ,10/8/2025 16:21,
6614109,$699.99 ,,10/8/2025 16:21,
6610571,,,10/8/2025 16:21,
6612251,$279.99 ,$529.99 ,10/8/2025 16:21,
6610890,$479.99 ,$699.99 ,10/8/2025 16:21,
6612978,$434.99 ,$579.99 ,10/8/2025 16:21,
6619312,"$1,599.99 ","$1,899.99 ",10/8/2025 16:21,
6609089,$829.00 ,,10/8/2025 16:21,
6618924,$779.99 ,,10/8/2025 16:21,
6582854,$949.99 ,"$1,199.99 ",10/8/2025 16:21,
6602751,"$2,249.00 ","$2,499.00 ",10/8/2025 16:21,
6534648,$979.00 ,"$1,199.00 ",10/8/2025 16:21,
6615731,$999.99 ,,10/8/2025 16:21,
6602743,"$1,399.00 ","$1,599.00 ",10/8/2025 16:21,
6572156,,,10/8/2025 16:21,
6565860,$999.00 ,"$1,199.00 ",10/8/2025 16:21,
6602745,"$1,799.00 ","$1,999.00 ",10/8/2025 16:21,
6602744,"$1,599.00 ","$1,799.00 ",10/8/2025 16:21,
6617097,$549.99 ,$869.99 ,10/8/2025 16:21,
6609087,$479.00 ,$599.00 ,10/8/2025 16:21,
6615729,"$1,299.99 ",,10/8/2025 16:21,
6613956,"$1,999.99 ",,10/8/2025 16:21,
6613957,"$4,099.99 ","$4,499.99 ",10/8/2025 16:21,
6609085,$279.00 ,,10/8/2025 16:21,
6551410,$799.00 ,$999.00 ,10/8/2025 16:21,
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:34:21,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:34:21,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:34:21,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:35:00,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:35:00,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:35:00,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:35:36,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:35:36,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:35:36,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:36:12,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:36:12,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:36:12,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:36:55,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:36:55,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:36:55,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:37:35,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:37:35,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:37:35,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:37:41,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:37:41,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:37:41,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:38:22,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:38:22,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:38:22,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:40:29,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:40:29,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:40:29,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:41:10,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:41:10,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:41:10,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:41:50,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:41:50,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:41:50,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:41:59,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:41:59,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:41:59,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:42:46,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:42:46,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:42:46,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:43:28,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:43:28,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:43:28,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:44:09,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:44:09,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:44:09,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:44:39,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:44:39,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:44:39,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:45:09,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:45:09,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:45:09,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:45:16,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:45:16,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:45:16,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:46:05,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:46:05,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:46:05,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:46:03,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:46:03,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:46:03,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:46:51,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:46:51,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:46:51,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:47:34,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:47:34,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:47:34,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:48:27,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:48:27,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:48:27,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:49:03,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:49:03,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:49:03,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:49:20,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:49:20,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:49:20,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:49:47,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:49:47,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:49:47,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:49:55,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:49:55,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:49:55,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:50:22,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:50:22,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:50:22,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:50:59,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:50:59,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:50:59,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:51:36,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:51:36,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:51:36,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:52:12,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:52:12,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:52:12,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:52:48,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:52:48,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:52:48,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:53:26,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:53:26,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:53:26,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:54:02,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:54:02,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:54:02,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:54:19,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:54:19,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:54:19,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:54:38,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:54:38,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:54:38,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:54:58,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:54:58,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:54:58,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:55:38,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:55:38,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:55:38,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:55:38,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:55:38,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:55:38,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:56:01,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:56:01,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:56:01,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:56:13,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:56:13,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:56:13,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:56:37,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:56:37,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:56:37,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:57:14,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:57:14,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:57:14,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:57:50,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:57:50,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:57:50,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:58:06,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:58:06,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:58:06,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,,,2025-10-08 16:58:28,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:58:28,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:58:28,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:58:46,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:58:46,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:58:46,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 16:59:28,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 16:59:28,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 16:59:28,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:00:08,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:00:08,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:00:08,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:00:49,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:00:49,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:00:49,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:01:36,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:01:36,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:01:36,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:02:17,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:02:17,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:02:17,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:02:56,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:02:56,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:02:56,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:03:36,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:03:36,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:03:36,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:04:16,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:04:16,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:04:16,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:05:04,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:05:04,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:05:04,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:05:44,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:05:44,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:05:44,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:06:24,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:06:24,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:06:24,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:07:04,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:07:04,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:07:04,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:07:43,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:07:43,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:07:43,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:08:24,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:08:24,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:08:24,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:09:08,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:09:08,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:09:08,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:09:48,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:09:48,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:09:48,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:10:30,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:10:30,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:10:30,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:11:11,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:11:11,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:11:11,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:11:52,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:11:52,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:11:52,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:12:32,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:12:32,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:12:32,Lenovo  Yoga Slim 7i
JJGCQ8RH7G,$799.00,$999.00,2025-10-08 17:13:12,Apple MacBook Air 13
JJGQJRKGQ4,$879.99,"$1,349.99",2025-10-08 17:13:12,HP OmniBook X
JJGSHCGSCW,"$1,449.99",,2025-10-08 17:13:12,Lenovo  Yoga Slim 7i
